#SampleID	OIEJ01	OIEK01	OIEO01	OIEP01	OIEQ01	OIER01	OIES01	OIET01	OIEU01	OIEV01	OKVD01	OKVG01	OKVI01	OKVJ01	OKVL01	OKVM01	OKVN01	OKVO01	OKVQ01	OKVR01	OKVS01	OKVT01	OKVU01	OKVV01	OKVW01	OKVX01	OKVY01	OKVZ01	OKWA01
sk__Bacteria	2.0	2.0	3.0	2.0	1.0	4.0	2.0	2.0	5.0	4.0	3.0	3.0	1.0	2.0	3.0	2.0	0	1.0	2.0	2.0	0	3.0	1.0	2.0	2.0	1.0	2.0	3.0	3.0
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0
sk__Bacteria;k__;p__Actinobacteria	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	1.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	4.0	0	0	2.0	2.0	10.0	1.0	3.0	5.0	5.0	5.0	8.0	3.0	0	2.0	0	6.0	0	1.0	3.0	0	6.0	0	1.0	1.0	0	0	0	3.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
