kingdom	phylum	SRS086433_G	SRS086434_G	SRS086435_G	SRS086436_G	SRS086437_G	SRS086438_G	SRS086439_G	SRS086440_G	SRS086442_G	SRS086443_G	SRS086444_G	SRS086445_G	SRS086446_G	SRS086447_G	SRS086448_G	SRS086449_G
Archaea	Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Archaea	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	Actinobacteria	1	1	1	0	0	1	0	3	0	30	8	5	0	0	0	4
Bacteria	Bacteroidetes	93	59	63	18	80	52	0	102	0	0	0	0	46	14	0	16
Bacteria	Cyanobacteria	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	197	208	421	73	575	93	39	91	1	1	3	0	47	16	28	36
Bacteria	Fusobacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	9	2	4	0	4	0	0	13	0	0	1	0	3	1	0	0
Bacteria	Unassigned	15	14	17	4	29	66	20	105	1	3	3	1	40	7	9	28
Bacteria	Verrucomicrobia	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3
Unassigned	Unassigned	0	0	0	0	0	0	5	11	0	4	0	2	3	1	2	5
