#SampleID	SRS086433_G	SRS086434_G	SRS086435_G	SRS086436_G	SRS086437_G	SRS086438_G	SRS086439_G	SRS086440_G	SRS086442_G	SRS086443_G	SRS086444_G	SRS086445_G	SRS086446_G	SRS086447_G	SRS086448_G	SRS086449_G
Root	0	0	0	0	0	0	5	11	0	4	0	2	3	1	2	5
Root;k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Root;k__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Root;k__Bacteria	15	14	17	4	29	66	20	105	1	3	3	1	40	7	9	28
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__	0	1	0	0	0	0	0	0	0	29	7	4	0	0	0	3
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1
Root;k__Bacteria;p__Bacteroidetes	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	16	10	11	1	7	15	0	23	0	0	0	0	10	1	0	3
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	41	40	39	10	39	18	0	11	0	0	0	0	15	4	0	11
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	36	9	8	6	30	19	0	67	0	0	0	0	21	9	0	2
